address,mls_number,status,original_price,property_type,commercial_rent,floors,total_sq_ft,bachelor,one_br,two_br,three_br,four_br,unknown,residential_rent,property_taxes,down_payment_pct,interest_rate,term_years,hold_years,expense_ratio,lease_type
"54 Foster St, Perth",X9516108,active,800000,,,1,3885,0,0,0,0,0,0,,7742,,,,,,
"2 Gore St E, Perth",X10419095,active,1390000,,,3,13035,0,8,0,0,,0,,18613,,,,,,
"23 Gore St E, Perth",X12071231,active,1200000,,,2,10200,0,0,0,0,,4,,13725,,,,,,
"81 Gore St E, Perth",X12276686,inactive,1250000,,,1,10000,0,0,0,0,,0,,23363,,,,,,
"5 Herriott St, Perth",,active,3500000,,,,,,,,,,,,,,,,,,
"1 Sherbrooke St E, Perth",X12470255,active,5400000,,,1,45000,0,0,0,0,0,0,,15355,,,,,,
"26 Wilson St W, Perth",X12031119,active,450000,,,2,2156,0,0,1,0,,0,,4270,,,,,,
"283 George St N, Peterborough",X12285836,active,500000,,,2,1005,0,0,1,0,0,0,,5121,,,,,,
"432 George St, Peterborough",X12023570,inactive,1200000,,,3,5389,0,2,1,0,0,0,,9342.67,,,,,,
"139-141 Hunter St W, Peterborough",X12069402,inactive,1918888,,,3,8357,0,0,0,0,0,1,,21607,,,,,,
"197 Hunter St W, Peterborough",X12304462,active,1500000,,,3,6000,0,0,0,0,0,5,,11629,,,,,,
"122 Park St N, Peterborough",X12740338,active,1800000,,,3,10500,0,4,7,0,0,0,,25212,,,,,,
"282-288 Romaine St, Peteroborough",X12612320,active,8000000,,,2,31215,0,8,22,0,0,0,,89132,,,,,,
"378 Stewart St, Peterborough",X12740408,active,1800000,,,2,11000,0,1,9,0,0,0,,25014,,,,,,
"177 Queen St, Port Perry",E12214809,inactive,2000000,,,2,2880,0,2,0,0,0,0,,11398,,,,,,
"183 Queen St, Port Perry",E12199797,active,7000000,,,2,23262,0,0,0,0,,11,,75223,,,,,,
"210 Queen St, Port Perry",E12223963,inactive,3500000,,,,,,,,,,,,,,,,,,
"101-109 King St W, Prescott",X12334852,inactive,1500000,,,2,7858,0,0,0,0,0,2,,14771,,,,,,
"101-115 King St W, Prescott",X12657592,active,2700000,,,3,9171,0,0,0,0,0,8,,9078,,,,,,
"112-124 King St W, Prescott",X12543532,active,2500000,,,3,5562,0,0,0,0,0,10,,14172,,,,,,
"192 King St W, Prescott",X11952340,inactive,950000,,,3,2906,0,4,2,0,0,0,,5800,,,,,,
"237-239 King St W, Prescott",X12237935,inactive,325000,,,2,3700,0,2,0,0,0,0,,1392,,,,,,
"257-259 King St W, Prescott",X12314433,inactive,545000,,,,,,,,,0,,,,,,,,,
"440-446 King St W, Prescott",X12535830,active,675000,,,1,1200,0,1,4,0,0,0,,4756,,,,,,
"823 Walker St, Prescott",,inactive,3950000,,,,,,,,,,,,,,,,,,
"1 Lake St, Picton",X12744192,active,850000,,,2,3346,0,0,0,0,1,0,,8512,,,,,,
"229 Main St, Picton",X12421160,active,2400000,,,3,9000,0,1,0,0,0,1,,11008,,,,,,
"279-281 Main St, Picton",X12405042,inactive,2900000,,,3,9900,0,0,0,0,0,6,,8706,,,,,,
"325 Main St E, Picton",X10440470,active,575000,,,2,603,0,0,0,0,,1,,1217,,,,,,
"20-22 John St, Port Hope",X12432622,inactive,800000,,,3,2250,0,0,0,1,0,0,,3700,,,,,,
"30 Walton St, Port Hope",X11998725,active,1475000,,,3,5544,0,0,4,1,0,0,,13425,,,,,,
"34-46 Walton Street, Port Hope ",X12516222,inactive,4700000,,,3,17000,0,0,0,0,0,16,,62652,,,,,,
"56-60 Walton St, Port Hope",X12516228,inactive,900000,,,3,5400,0,0,0,0,0,4,,14893,,,,,,
"82 Walton St, Port Hope",X12158557,active,800000,,,3,1750,0,2,0,0,,0,,8417,,,,,,
"104-106 Walton St, Port Hope",X9271151,inactive,1100000,,,4,5258,0,0,0,0,,6,,11583,,,,,,
"135 Walton St, Port Hope",X12772960,active,990000,,,2,4600,0,0,0,0,0,0,,15820,,,,,,
"401-415 Grande All�e E., Quebec City",16909860,active,6000000,,,3,7201,0,0,0,0,0,14,,,,,,,,
"625 Grande All�e E., Quebec City",11045630,active,7850000,,,4,18890,0,0,0,0,0,0,,,,,,,,
"65 Rue D'Auteuil, Quebec City",19779404,active,5000000,,,3,,0,0,0,0,0,9,,,,,,,,
"575-595 Rue St-Joseph E., Quebec City",22047903,active,11750000,,,6,6157,0,0,0,0,0,0,,,,,,,,
"605 Rue St-Joseph E., Quebec City",17932625,active,5475000,,,4,9332,0,0,0,0,0,0,,,,,,,,
"633 Rue St-Joseph E., Quebec City",13288150,active,3000000,,,4,,0,0,0,0,0,0,,,,,,,,
"281 Rue St-Vallier E., Quebec City",24372614,active,6200000,,,3,12809,0,0,0,0,0,0,,,,,,,,
"154 Quarry Avenue, Renfrew",X12249024,active,990000,,,3,7000,0,1,1,2,0,0,,9070,,,,,,
"49 Raglan St N, Renfrew",X12371601,inactive,350000,,,2,2000,0,0,1,0,,0,,4957,,,,,,
"118-122 Raglan St S, Renfrew",X12393543,inactive,350000,,,1,7089,0,0,0,0,0,0,,7685,,,,,,
"150 Raglan St S, Renfrew",X11914095,active,875000,,,1,7800,0,0,0,0,,0,,17500,,,,,,
"170-172 Raglan St S, Renfrew",X12190758,inactive,435000,,,2,3000,0,2,1,0,,0,,5213,,,,,,
"188-192 Raglan St S, Renfrew",X12824608,active,600000,,,1,5000,0,0,0,0,0,0,,9780,,,,,,
"204 Raglan St S, Renfrew",X12022342,active,550000,,,1,1300,0,0,0,0,,4,,8637,,,,,,
"228-232 Raglan S S, Renfrew",X12422205,inactive,900000,,,2,6491,0,4,0,0,0,0,,16319,,,,,,
"249 Raglan St S, Renfrew",X12205078,inactive,4000000,,,3,14930,0,0,0,0,,7,,17000,,,,,,
"278 Raglan St S, Renfrew",X12148708,inactive,365000,,,3,15595,0,10,0,0,,0,,6250,,,,,,
"296 Raglan St S, Renfrew",X12131378,inactive,1500000,,,1,22560,0,0,0,0,,0,,45000,,,,,,
"314-316 Raglan St, Renfrew",X11964973,inactive,825000,,,2,6297,0,0,0,0,,3,,7596,,,,,,
"12 Beckwith St N, Smith Falls",X12230149,inactive,325000,,,2,2042,0,0,1,0,,0,,4809,,,,,,
"14 Beckwith St N, Smith Falls",X12107586,inactive,200000,,,1,592,0,0,0,0,,0,,970,,,,,,
"16 Beckwith St N, Smith Falls",X11920731,inactive,475000,,,2,1563,0,0,1,0,,0,,3896,,,,,,
"28 Beckwith St N, Smith Falls",X12126329 ,active,475000,,,1,5000,0,0,0,0,0,0,,5372,,,,,,
"43 Beckwith St, Smith Falls",X12492486,inactive,475000,,,2,1800,1,1,0,0,0,0,,3392,,,,,,
"72 Daniel St, Smith Falls",X11968511,inactive,625000,,,3,12572,0,8,0,0,,0,,7336,,,,,,
